name,type,rating,count,address,comment,lat,lon,geometry
Cà phê Cô Ba Đồng Khởi,Quán cà phê,4.3,1500.0,"4-6 Đồng Khởi, Quận 1, Thành phố Hồ Chí Minh","Nước ổn, bánh crepe đào ngon, view đẹp, gía hơi nhĩn 1 hơn chút.",10.776248848042945,106.70287443808908,POINT (106.70287443808908 10.776248848042945)
Bâng Khuâng Café,Quán cà phê,4.3,627.0,"2nd floor, 9 Thái Văn Lung, Quận 1, Thành phố Hồ Chí Minh",Quán cũng có khách nước ngoài đến chứng tỏ quán cũng được tìm kiếm.,10.7787019,106.7052509,POINT (106.7052509 10.7787019)
Cà Phê Cô Ba Thì,Quán cà phê,4.3,63.0,"30 Tôn Thất Tùng, Quận 1, Thành phố Hồ Chí Minh","View quá đẹp, không gian nhộn nhịp & dễ thương, menu độc & lạ.",10.769948,106.688637,POINT (106.688637 10.769948)
Cheese Coffee - Công Trường Lam Sơn,Quán cà phê,4.4,350.0,"9 Công trường Lam Sơn, Quận 1, Thành phố Hồ Chí Minh","ngon
Nhân viên nhiệt tình
Không gian nhỏ nhỏ xinh xinh",10.77680625,106.70321295455926,POINT (106.70321295455926 10.77680625)
11:11 cafe,Quán cà phê,3.9,145.0,"144/7 Pasteur, Quận 1, Thành phố Hồ Chí Minh","Mình ăn brownie với loại bánh đen đen gì đấy đều ngon
Capu k ngon.",10.770181520755065,106.70279680630387,POINT (106.70279680630387 10.770181520755065)
Cà Phê Trứng 3T,Quán cà phê,4.0,1100.0,"2B Ngô Văn Năm, Quận 1, Thành phố Hồ Chí Minh",Một trong những quán  ngon và đẹp ở Sài Gòn đáng để trải nghiệm.,10.780697417344657,106.70661638519681,POINT (106.70661638519681 10.780697417344657)
The 15 Minutes Coffee & Tea,Quán cà phê,4.7,71.0,"1-1a Tôn Đức Thắng, Quận 1, Thành phố Hồ Chí Minh","Rất thích không gian này, vừa  đẹp nhưng rất yên tĩnh.",10.784982067746919,106.70342603029093,POINT (106.70342603029093 10.784982067746919)
Phiếm Rooftop,Quán cà phê,4.8,24.0,"97 Đặng Dung, Quận 1, Thành phố Hồ Chí Minh","10 điểm cho ts, 10 điểm đồ ăn 10 điểm cho cái vibe ở đó luôn",10.7923772,106.6886264,POINT (106.6886264 10.7923772)
Cafe Tèo premium - Quận 1,Quán cà phê,4.1,553.0,"266 Trần Hưng Đạo, Quận 1, Thành phố Hồ Chí Minh","sữa: 35k
Trà vải: 55k
Chất lượng thì cũng tương tự những quán khác.",10.759669,106.686813,POINT (106.686813 10.759669)
The Workshop Coffee,Quán cà phê,4.5,3800.0,"27 Ngô Đức Kế, Quận 1, Thành phố Hồ Chí Minh","Trên tầng 2 Workshop

Nice view
Breakfast
Cake&Coffee
Music&Enjoydeepmood",10.7734061,106.7055391,POINT (106.7055391 10.7734061)
The Plant Coffee,Quán cà phê,3.7,164.0,"128A Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",Mọi thứ đều ổn,10.762668,106.687175,POINT (106.687175 10.762668)
HALA Coffee - Phạm Ngọc Thạch,Quán cà phê,4.9,124.0,"04A Phạm Ngọc Thạch, Quận 1, Thành phố Hồ Chí Minh","Nước uống ngon, nhân viên nhiệt tình, thân thiện",10.7813773,106.6974479,POINT (106.6974479 10.7813773)
CHUA Juice & Dessert Bar,Quán cà phê,4.6,153.0,"113 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh",mình vừa uống vừa tận hưởng ko khí nhìn ra phố đi bộ lun.,10.7738742,106.7036309,POINT (106.7036309 10.7738742)
Phê La - Hồ Tùng Mậu,Quán cà phê,4.0,1700.0,"125 Hồ Tùng Mậu, Quận 1, Thành phố Hồ Chí Minh","Menu khá đa dạng,  nấm truffle khá lạ nhưng có vẻ ko ngon lắm.",10.76988850330201,106.70492521091538,POINT (106.70492521091538 10.76988850330201)
The Coffee House - Nguyễn Thái Bình,Quán cà phê,4.2,2100.0,"141 Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Không gian thì cũng tương đối tốt cho các cuộc hẹn gặp bàn công việc.,10.7683299,106.6988431,POINT (106.6988431 10.7683299)
Mít Rooftop Bistro,Quán ăn nhỏ,4.7,443.0,"sân thượng, 37 Đồng Khởi, Quận 1, Thành phố Hồ Chí Minh","Không gian thoáng , màu sắc tươi mảt ,  cực chill,.",10.7745305,106.70475,POINT (106.70475 10.7745305)
Cipherz Rooftop,Quán cà phê,4.4,357.0,"379 Hoàng Sa, Quận 1, Thành phố Hồ Chí Minh","Nhạc hay, barmen thân thiện, không gian tuy nhỏ nhưng đẹp",10.7933412,106.6866787,POINT (106.6866787 10.7933412)
Highlands Coffee – Nguyễn Trãi,Quán cà phê,4.2,1100.0,"210 Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh",bạc sỉu nóng size  vừa 45000,10.7654085,106.6877509,POINT (106.6877509 10.7654085)
Lão Hạc Quán,Quán cà phê,4.3,935.0,"299B Hoàng Sa, Quận 1, Thành phố Hồ Chí Minh","Vibe cổ, tông màu ấm, decor ổn, view  rất thoải mái.",10.7957478,106.6852079,POINT (106.6852079 10.7957478)
Ciao Cafe,Quán cà phê,4.2,1000.0,"74 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh","Quán đẹp, nhân viên nhiệt tình, đồ ăn cũng ngonn",10.7751001,106.7029693,POINT (106.7029693 10.7751001)
